CMDTYCODE,GDSDESC,GDSDESC (Brand / Product),Description for context / augmenting,Comments,Initials
1806,Cadbury chocolate,Cadbury,chocolate ,Can only go to 4 digits as more information is needed,LR
20052020,Walkers British potato chip,Walkers,British potato chip ,,LR
220299,Pepsi soft drinks,Pepsi,soft drinks,Can only go to 6 digits as additional information is needed,LR
20055900,Heinz beans,Heinz beans,,,LR
20132000,Heinz ketchup,Heinz ketchup,,,LR
19049080,Heinz summer fruit porridge,Heinz summer fruit porridge,,,LR
21039090,Heinz mayonnaise,Heinz mayonnaise,,,LR
20019097,Heinz pickle,Heinz pickle,,,LR
210410,Heinz soup,Heinz soup,,Can only go to 6 digits as additional information is needed,LR
,Birds Eye Frozen food product,Birds Eye,Frozen food product,Description too vague to provide a code,LR
09012100,Nescafe Instant coffee,Nescafe,Instant coffee,Non decaffeinated or 09012200 for decaffeinated,LR
09012200,Nescafe Instant coffee decaffeinated,,,,
2102300000,Dr. Oetker baking powder,Dr. Oetker baking powder,,,ER
18063290,Dr. Oetker milk cooking chocolate bar,Dr. Oetker milk cooking chocolate bar,,,ER
1302190500,Dr. Oetker madagascan vanilla extract,Dr. Oetker madagascan vanilla extract,,,ER
330124,Dr. Oetker peppermint extract,Dr. Oetker peppermint extract,,Can only go to 6 digits as additional information is needed,ER
17049099,Dr. Oetker sprinkles,Dr. Oetker sprinkles,,,ER
17029071,Dr. Oetker caramel flavouring,Dr. Oetker caramel flavouring,,,ER
19059070,Dr. Oetker Ristorante pizza,Dr. Oetker Ristorante pizza,,,ER
21039090,Dolmio Italian-style pasta sauces,Dolmio,Italian-style pasta sauces,,ER
21039090,Hellmann's Mayonnaise and condiments,Hellmann's,Mayonnaise and condiments,,ER
20052020,McCoy's ridged potato crisps,McCoy's,ridged potato crisps,,ER
8506,Duracell batteries,Duracell,batteries,Can only go to 4 digits as more information is needed,ER
0406,Dairylea Cheese products,Dairylea,Cheese products ,Can only go to 4 digits as more information is needed,LR
040510,Anchor butter,Anchor,butter,Can only go to 6 digits as additional information is needed,LR
220210,Fever Tree Premium mixer and tonic,Fever Tree,Premium mixer and tonic ,Can only go to 6 digits as additional information is needed,LR
380894,Dettol Household cleaning and disinfectant,Dettol,Household cleaning and disinfectant ,Can only go to 6 digits as additional information is needed,LR
190590,Chicago Town Pizzas frozen pizza food,Chicago Town Pizzas,frozen pizza food,Can only go to 6 digits as additional information is needed,LR
34025090,Ariel Laundry detergent by P&G,Ariel,Laundry detergent  by P&G,Could possibly go to 3401?,LR
190531,Mr Kipling bramley apple pies,Mr Kipling bramley apple pies,,I have put this to sweet biscuits as is a pastry product. Further information is needed ,LR
190590,Mr Kipling angel slices cake,Mr Kipling angel slices,cake,Can only go to 6 digits as additional information is needed,LR
190590,Mr Kipling lemon fancies cake,Mr Kipling lemon fancies,cake,Can only go to 6 digits as additional information is needed,LR
190590,Mr Kipling victoria slices cake,Mr Kipling victoria slices,cake,Can only go to 6 digits as additional information is needed,LR
190590,Mr Kipling mini battenbergs cake,Mr Kipling mini battenbergs,cake,Can only go to 6 digits as additional information is needed,LR
17049099,Maltesers chocolate,Maltesers,chocolate ,,ER
17049065,Haribo sweets,Haribo,sweets,,ER
09023000,"PG Tips tea Black tea, Content not exceeding 3kg",PG Tips,tea,,ER
09023000,"Tetley tea Black tea, Content not exceeding 3kg",Tetley,tea,,ER
09023000,"Lipton tea Black tea, Content not exceeding 3kg",Lipton,tea,,ER
09023000,"Taylors of Harrogate tea Black tea, Content not exceeding 3kg",Taylors of Harrogate,tea,,ER
09021000,Lipton tea Green tea (not fermented) content not exceeding 3kg,,,,
2005995090,Quorn meat free food meat substitute,Quorn,meat free food meat substitute,,ER
23091090,Pedigree dog food Other,Pedigree,,"This is a bit vague, would say it is this code if it is the animal food",ER
34012090,Persil biological liquid,Persil biological liquid,,,ER
34012090,Persil bio laundry detergent,Persil bio laundry detergent,,,ER
19042099,Weetabix cereal obtained from wheat,Weetabix,cereal,Can only go to 6 digits as additional information is needed,ER
1806,Galaxy chocolate,Galaxy,chocolate,Can only go to 4 digits as more information is needed,LR
220299,Fanta soft drinks,Fanta,soft drinks,Can only go to 6 digits as additional information is needed,LR
220299,Vimto soft drinks,Vimto,soft drinks,Can only go to 6 digits as additional information is needed,LR
21069098,Vimto squash cordial,Vimto squash,cordial,,LR
190590,doritos crisps tortilla chip style,doritos crisps,tortilla chip style,Can only go to 6 digits as additional information is needed,LR
20019097,doritos salsa,doritos salsa,,,LR
2105,magnum ice cream,magnum ,ice cream,Can only go to 4 digits as more information is needed,LR
21069098,Robinsons squash drink,Robinsons,squash drink,,LR
19059030,Hovis bread,Hovis,bread,,LR
34012090,Fairy washing up liquid,Fairy washing up liquid,,Could possibly be heading 3402,LR
34012010,Fairy non bio washing powder,Fairy non bio washing powder,,,ER
34012090,Fairy laundry detergent,Fairy laundry detergent,,,ER
34025090,fairy platinum dishwashing tablets,fairy platinum dishwashing tablets,,,ER
34025010,Fairy Outdoorable fabric conditioner,Fairy Outdoorable fabric conditioner,,,ER
34025010,Fairy dishwasher tablets,Fairy dishwasher tablets,,,ER
040510,Lurpak butter,Lurpak,butter,Can only go to 6 digits as additional information is needed,ER
48181010,Andrex toilet paper weighing less than 25g/m2 per ply,Andrex,toilet paper,Can only go to 6 digits as additional information is needed,ER
2202100000,Red bull,Red bull,,Most likely correct code without additional info,JW
19059030,Warburtons bread,Warburtons,bread,,ER
190590,Nestle kit kat confectionary chocolate,Nestle kit kat,confectionary chocolate,,ER
1904,Nestle cheerios cereal,Nestle cheerios,cereal,Can only go to 4 digits as more information is needed,ER
190410,nestle shredded wheat cereal,nestle shredded wheat,cereal,More information needed,ER
1904,kellogg's cereal,kellogg's,cereal,Information too vague. ,LR
19059045,Jacob's cream crackers savoury biscuits,Jacob's cream crackers,savoury biscuits,,LR
18069019,Twix confectionary chocolate,Twix,confectionary chocolate,Could also be 190531,LR
18069019,Lindt confectionary chocolate,Lindt,confectionary chocolate,,LR
21050099,Cornetto ice cream classic 7% or more weight milkfats,Cornetto,ice cream,Can only go to 4 digits as more information is needed,LR
19053111,McVitie's biscuits,McVitie's ,biscuits,In packs not exceeding 85g,LR
,McCain frozen food,McCain,frozen food,Description too vague to provide a code,LR
19041030,Muller Rice Chocolate Chocolate rice product,Muller Rice Chocolate,Chocolate rice product,Can only go to 4 digits as more information is needed,LR
19041030,Muller Rice Protein (rice pudding),Muller Rice Protein,,Can only go to 4 digits as more information is needed,LR
,Muller corner yoghurt,Muller corner,yoghurt,,LR
04029910,Muller Frijj Milk drink less than 9.5% fat content strawberry,Muller Frijj,Milk drink,Can only go to 4 digits as more information is needed,ER
04029910,Muller Frijj Milk drink less than 9.5% fat content banana,Muller Frijj,Milk drink,Can only go to 4 digits as more information is needed,ER
04029110,Muller milk no added sugar,Muller milk ,,Can only go to 4 digits as more information is needed,ER
04051019,Muller butter,Muller butter,,Can only go to 6 digits as more information is needed,ER
04039053,Muller cream,Muller cream,,Can only go to 6 digits as more information is needed,ER
04032093,Danone yoghurts fruit milkfat content 5%,Danone,yoghurts,Can only go to 6 digits as more information is needed,ER
04069022,cathedral city cheese cheddar,cathedral city,cheese,Can only go to 4 digits as more information is needed,ER
20099079,Innocent smoothies Fruit-blended smoothie drinks,Innocent smoothies,Fruit-blended smoothie drinks,Can only go to 4 digits as more information is needed,ER
20099097,"Innocent smoothies mangoes, passion fruits & apples Fruit-blended smoothie drinks","Innocent smoothies mangoes, passion fruits & apples",Fruit-blended smoothie drinks,Can only go to 4 digits as more information is needed,ER
20099031,"Innocent smoothies blueberries, peaches & apples Fruit-blended smoothie drinks","Innocent smoothies blueberries, peaches & apples",Fruit-blended smoothie drinks,Can only go to 4 digits as more information is needed,ER
20099097,Innocent smoothies strawberries & bananas Fruit-blended smoothie drinks,Innocent smoothies strawberries & bananas,Fruit-blended smoothie drinks,Can only go to 4 digits as more information is needed,ER
20091200,Tropicana Fruit juice and beverages orange,Tropicana,Fruit juice and beverages,can only go to 4 digits as more information is needed,ER
23091090,Whiskas cat food,Whiskas,cat food,Can only go to 6 digits as more information is needed,ER
34012090,Persil non bio laundry detergent,Persil non bio,laundry detergent,,ER
22011011,Volvic bottled mineral water,Volvic,bottled water,Can only go to 6 digits as more information is needed,ER
22011019,Volvic bottled water carbonated,,,,
22011090,Evian bottled spring water,Evian,bottled water,Can only go to 6 digits as more information is needed,ER
040390,Yeo Valley kefir drink fermented milk drink,Yeo Valley kefir drink,fermented milk drink,Can only go to 6 digits as more information is needed,LR
040320,Yeo Valley organic yoghurt,Yeo Valley organic yoghurt ,,Can only go to 6 digits as more information is needed,LR
0401,Yeo Valley fresh milk,Yeo Valley fresh milk ,,Can only go to 4 digits as more information is needed,LR
040510,Yeo Valley salted butter,Yeo Valley salted butter,,Can only go to 6 digits as more information is needed,LR
22021000,Schweppes lemonade soft drinks,Schweppes lemonade,soft drinks ,,LR
22021000,Schweppes Tonic Water,Schweppes Tonic Water ,,,LR
22021000,Schweppes Soda,Schweppes Soda ,,Classified to soda water. If 'soda' as in coke then it goes to 220299,LR
,Pedigree,Pedigree ,,"Description too vague, if dog food then 230910",LR
09011100,Starbucks coffee,Starbucks,coffee ,"Coffee or a ready made drink? Classified to coffee, not decaffeinated",LR
340250,Lenor,Lenor ,,Can only go to 6 digits as more information is needed,LR
1104121000,Quaker Oats,Quaker Oats ,,If rolled and as just oats,ER
20052020,Hula Hoops crisps,Hula Hoops,crisps,,ER
220110,Highland Spring bottled water,Highland Spring ,bottled water,Can only go to 6 digits as more information is needed,ER
,Batchelors,Batchelors ,,Too vague don't know what the product is,ER
340250,Comfort fabric softener,Comfort,fabric softener,Can only go to 6 digits as more information is needed,ER
2105,Ben & Jerry's ice cream,Ben & Jerry's,ice cream,Can only go to 4 digits as more information is needed,ER
,Rowntree's,Rowntree's ,,Too vague don't know what the product is,ER
481810,Cushelle toilet paper,Cushelle,toilet paper ,Can only go to 6 digits as more information is needed,ER
1904209900,Pot Noodle,Pot Noodle ,,I think this is correct,ER
19059030,Kingsmill bread,Kingsmill,bread ,,ER
1806,Ferrero chocolate,Ferrero,chocolate,Can only go to 4 digits as more information is needed,ER
040510,Flora margerine spreads,Flora,margerine spreads,,ER
,Old El Paso,Old El Paso ,,Description is too vague,LR
8506,Duracell batteries,Duracell ,batteries,Can only go to 4 digits as more information is needed,LR
,Aunt Bessie's,Aunt Bessie's ,,Description is too vague,LR
48030090,Plenty kitchen towels,Plenty,kitchen towels,,LR
0406,Philadelphia cheese,Philadelphia ,cheese,Can only go to 4 digits as more information is needed,LR
190531,Fox's biscuits,Fox's biscuits ,,Sweet biscuits. if savoury then 19059045,LR
190590,Pizza express Cheesy Dough Balls,Pizza express Cheesy Dough Balls ,,,LR
190590,Pizza express pizza,Pizza express pizza ,,,LR
170490,Maynards Bassetts sweets,Maynards Bassetts ,sweets,,LR
380894,Dettol,Dettol ,,,LR
,Napolina,Napolina,,Too vague don't know what the product is,ER
220299,Gatorade sports drink,Gatorade,sports drink,,ER
220299,Sprite soft drinks,Sprite,soft drinks,,ER
220299,Monster soft drinks,Monster,soft drinks,,ER
220299,J20 soft drinks,J20,soft drinks,,ER
